symbol,risk_per_unit_pct,risk_per_unit_percent,dollar_risk_per_unit_at_initial_equity,year,breakout_signals,valid_non_floored_signals,sub_min_lot_rejections,warmup_rejections,sub_min_lot_rejection_pct,initial_entries,pyramid_events,closed_trade_units
XAGUSD.var,0.01,1.0,10.0,2020,29,29,0,0,0.0,0,0,0
XAGUSD.var,0.01,1.0,10.0,2021,31,31,0,0,0.0,0,0,0
XAGUSD.var,0.01,1.0,10.0,2022,39,39,0,0,0.0,0,0,0
XAGUSD.var,0.0125,1.25,12.5,2013,0,0,0,0,,0,0,0
XAGUSD.var,0.0125,1.25,12.5,2014,0,0,0,0,,0,0,0
XAGUSD.var,0.0125,1.25,12.5,2015,0,0,0,0,,0,0,0
XAGUSD.var,0.0125,1.25,12.5,2016,0,0,0,0,,0,0,0
XAGUSD.var,0.0125,1.25,12.5,2017,0,0,0,0,,0,0,0
XAGUSD.var,0.0125,1.25,12.5,2018,0,0,0,0,,0,0,0
XAGUSD.var,0.0125,1.25,12.5,2019,0,0,0,0,,0,0,0
XAGUSD.var,0.0125,1.25,12.5,2020,29,29,0,0,0.0,0,0,0
XAGUSD.var,0.0125,1.25,12.5,2021,31,31,0,0,0.0,0,0,0
XAGUSD.var,0.0125,1.25,12.5,2022,39,39,0,0,0.0,0,0,0
XAGUSD.var,0.015,1.5,15.0,2013,0,0,0,0,,0,0,0
XAGUSD.var,0.015,1.5,15.0,2014,0,0,0,0,,0,0,0
XAGUSD.var,0.015,1.5,15.0,2015,0,0,0,0,,0,0,0
XAGUSD.var,0.015,1.5,15.0,2016,0,0,0,0,,0,0,0
XAGUSD.var,0.015,1.5,15.0,2017,0,0,0,0,,0,0,0
XAGUSD.var,0.015,1.5,15.0,2018,0,0,0,0,,0,0,0
XAGUSD.var,0.015,1.5,15.0,2019,0,0,0,0,,0,0,0
XAGUSD.var,0.015,1.5,15.0,2020,29,29,0,0,0.0,0,0,0
XAGUSD.var,0.015,1.5,15.0,2021,31,31,0,0,0.0,0,0,0
XAGUSD.var,0.015,1.5,15.0,2022,39,39,0,0,0.0,0,0,0
XAGUSD.var,0.02,2.0,20.0,2013,0,0,0,0,,0,0,0
XAGUSD.var,0.02,2.0,20.0,2014,0,0,0,0,,0,0,0
XAGUSD.var,0.02,2.0,20.0,2015,0,0,0,0,,0,0,0
XAGUSD.var,0.02,2.0,20.0,2016,0,0,0,0,,0,0,0
XAGUSD.var,0.02,2.0,20.0,2017,0,0,0,0,,0,0,0
XAGUSD.var,0.02,2.0,20.0,2018,0,0,0,0,,0,0,0
XAGUSD.var,0.02,2.0,20.0,2019,0,0,0,0,,0,0,0
XAGUSD.var,0.02,2.0,20.0,2020,29,29,0,0,0.0,0,0,0
XAGUSD.var,0.02,2.0,20.0,2021,31,31,0,0,0.0,0,0,0
XAGUSD.var,0.02,2.0,20.0,2022,39,39,0,0,0.0,0,0,0
