date,open,high,low,close,atr,long_entry_level,short_entry_level,long_exit_level,short_exit_level,warmup_ready,long_entry_signal,short_entry_signal,entry_signal,audit_action,rejection_reason,raw_lots,capped_lots,stepped_lots,min_lot,max_lots_by_leverage,max_by_position,open_risk_at_min_lot,max_open_risk_dollars
2024-07-09,2358.88,2371.5,2349.36,2363.7,31.229606854841865,2392.82,2293.57,2296.47,2392.82,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-07-10,2363.55,2386.61,2363.04,2371.37,30.84662651209978,2392.82,2293.57,2318.45,2392.82,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-07-11,2371.82,2424.48,2371.1,2414.21,31.973295186494795,2392.82,2293.57,2318.45,2392.82,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003909512587642164,0.003909512587642164,0.0,0.01,0.2071070867902958,10.0,63.94659037298971,100.0
2024-07-12,2413.08,2418.22,2391.38,2411.53,31.71663042717004,2424.48,2293.57,2318.99,2424.48,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-07-15,2411.85,2439.62,2401.28,2421.76,32.04779890581152,2424.48,2293.57,2326.8,2424.48,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-07-16,2421.94,2469.59,2419.97,2468.77,32.92640896052096,2439.62,2293.57,2349.36,2439.62,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003796344756267714,0.003796344756267714,0.0,0.01,0.2025300048202141,10.0,65.85281792104206,100.0
2024-07-17,2467.7,2483.64,2451.4,2459.14,32.8920885124949,2469.59,2293.57,2349.36,2469.59,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-07-18,2458.55,2474.85,2440.3,2445.28,32.974984086870144,2483.64,2296.47,2349.36,2483.64,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-07-19,2444.73,2445.28,2393.76,2400.3,33.902234882526635,2483.64,2318.45,2349.36,2483.64,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-07-22,2403.77,2412.11,2383.75,2395.88,33.62512313840031,2483.64,2318.45,2363.04,2483.64,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-07-23,2397.59,2411.93,2388.22,2409.72,33.129366981480295,2483.64,2318.99,2371.1,2483.64,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-07-24,2408.62,2431.93,2397.03,2398.5,33.21789863240626,2483.64,2326.8,2383.75,2483.64,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-07-25,2397.61,2401.16,2353.03,2364.4,33.96350370078593,2483.64,2349.36,2383.75,2483.64,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-07-26,2364.27,2390.72,2355.74,2388.08,34.014328515746634,2483.64,2349.36,2353.03,2483.64,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-07-29,2388.02,2403.1,2369.6,2383.98,33.988612089959304,2483.64,2349.36,2353.03,2483.64,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-07-30,2382.27,2412.67,2376.47,2410.51,34.09918148546135,2483.64,2349.36,2353.03,2474.85,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-07-31,2410.87,2450.87,2403.82,2446.25,34.746722411188266,2483.64,2353.03,2353.03,2445.28,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-08-01,2447.55,2462.24,2430.19,2446.29,34.61188629062884,2483.64,2353.03,2353.03,2450.87,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-08-02,2447.1,2477.6,2410.74,2441.3,36.224291976097405,2483.64,2353.03,2353.03,2462.24,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
