date,open,high,low,close,atr,long_entry_level,short_entry_level,long_exit_level,short_exit_level,warmup_ready,long_entry_signal,short_entry_signal,entry_signal,audit_action,rejection_reason,raw_lots,capped_lots,stepped_lots,min_lot,max_lots_by_leverage,max_by_position,open_risk_at_min_lot,max_open_risk_dollars,direction
2024-09-24,2626.95,2664.25,2622.56,2656.9,33.63667838589098,2634.81,2471.8,2510.96,2634.81,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003716181442351682,0.003716181442351682,0.0,0.01,0.18818924310286425,10.0,67.27335677178189,100.0,long
2024-09-26,2658.01,2685.51,2654.77,2671.96,32.886377243266615,2670.48,2485.07,2546.74,2670.48,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003800965946335526,0.003800965946335526,0.0,0.01,0.18712854982859026,10.0,65.77275448653336,100.0,long
2024-10-17,2674.49,2696.67,2673.08,2692.63,31.18402696083218,2685.51,2602.4,2602.4,2685.31,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.00400846241433163,0.00400846241433163,0.0,0.01,0.18569205572247208,10.0,62.36805392166435,100.0,long
2024-10-18,2692.94,2722.42,2692.23,2722.03,31.134325612790576,2696.67,2602.4,2602.4,2696.67,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004014861331977835,0.004014861331977835,0.0,0.01,0.18368643989963374,10.0,62.26865122558093,100.0,long
2024-10-22,2719.24,2748.79,2719.05,2748.42,30.840203865543476,2740.52,2602.4,2602.4,2740.52,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004053150898255167,0.004053150898255167,0.0,0.01,0.18192270468123503,10.0,61.68040773108715,100.0,long
2024-10-29,2741.25,2774.69,2739.79,2773.91,31.221300203521356,2758.38,2602.4,2673.08,2758.38,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0040036769508369685,0.0040036769508369685,0.0,0.01,0.18025098146659407,10.0,62.442600407042846,100.0,long
2024-10-30,2773.29,2789.9,2770.83,2786.55,30.6137351933453,2774.69,2602.4,2692.23,2774.69,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0040831345541648256,0.0040831345541648256,0.0,0.01,0.17943334948233478,10.0,61.227470386690584,100.0,long
2024-11-11,2683.33,2686.04,2610.59,2619.58,37.477446943748454,2790.01,2643.14,2643.14,2790.01,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0033353392558361297,0.0033353392558361297,0.0,0.01,0.19087029218424328,10.0,74.95489388749684,100.0,short
2024-11-12,2621.06,2627.05,2589.62,2598.11,37.47507459656104,2790.01,2610.59,2610.59,2790.01,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003335550398383218,0.003335550398383218,0.0,0.01,0.19244758689970787,10.0,74.95014919312189,100.0,short
2024-11-13,2597.9,2618.73,2572.93,2573.4,37.891320866733004,2790.01,2589.62,2589.62,2762.1,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.00329890848724001,0.00329890848724001,0.0,0.01,0.19429548457293852,10.0,75.78264173346588,100.0,short
2024-11-14,2573.96,2581.38,2536.74,2565.5,38.22875482339637,2790.01,2572.93,2572.93,2749.88,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0032697899938791304,0.0032697899938791304,0.0,0.01,0.19489378288832587,10.0,76.45750964679291,100.0,short
2024-12-18,2646.67,2651.62,2584.21,2584.42,38.90138844132945,2726.05,2613.47,2613.47,2726.05,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003213252919970281,0.003213252919970281,0.0,0.01,0.19346700613677342,10.0,77.80277688265869,100.0,short
2025-01-10,2670.26,2697.74,2663.98,2688.46,33.79331229765738,2678.05,2584.21,2596.0,2678.05,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0036989567314082215,0.0036989567314082215,0.0,0.01,0.18598007781406456,10.0,67.58662459531479,100.0,long
2025-01-16,2696.29,2724.63,2689.79,2714.37,32.9911811371438,2697.74,2596.0,2614.47,2697.74,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0037888913246354244,0.0037888913246354244,0.0,0.01,0.18420480627180524,10.0,65.98236227428742,100.0,long
2025-01-21,2707.86,2745.83,2702.58,2744.88,32.42540642745867,2724.63,2596.0,2655.36,2724.63,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0038550017955718443,0.0038550017955718443,0.0,0.01,0.1821573256390079,10.0,64.85081285491742,100.0,long
2025-01-22,2743.56,2763.28,2741.79,2756.09,31.878636106085747,2745.83,2602.47,2656.63,2745.83,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003921121329784151,0.003921121329784151,0.0,0.01,0.18141642689462245,10.0,63.7572722121713,100.0,long
2025-01-24,2753.81,2785.86,2753.54,2771.31,31.477544085742387,2763.28,2614.47,2659.8,2763.28,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003971084899746616,0.003971084899746616,0.0,0.01,0.18042009013787702,10.0,62.95508817148493,100.0,long
2025-01-30,2758.3,2798.39,2758.21,2793.96,31.822576267487698,2785.86,2655.36,2689.28,2785.86,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0039280289235321675,0.0039280289235321675,0.0,0.01,0.1789574653896262,10.0,63.6451525349753,100.0,long
2025-01-31,2793.52,2817.04,2790.97,2799.39,31.53494745411332,2798.39,2656.63,2702.58,2798.39,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003963856295682376,0.003963856295682376,0.0,0.01,0.17861034010980964,10.0,63.06989490822662,100.0,long
2025-02-04,2813.31,2845.36,2807.16,2841.85,33.14761507733728,2830.5,2659.8,2730.43,2830.5,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0037710103640446026,0.0037710103640446026,0.0,0.01,0.1759417280996534,10.0,66.29523015467475,100.0,long
2025-02-05,2841.18,2882.2,2839.62,2866.35,33.61923432347041,2845.36,2669.17,2730.43,2845.36,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003718109662977495,0.003718109662977495,0.0,0.01,0.17443787395119228,10.0,67.23846864694087,100.0,long
